,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2016-03-17-north-carolina,40.0,10,9.8,5,115.3,61.0,25,0.448,58,0.431,25,0.414,24,0.625,15,14,200,93.1,34.4,11,19,67,16,8.3,6,0.19,11,0.182,2,49.3,36,0.483,17.0,14,47,0.489,23,0.6,21,"March 17, 2016",41.9,13,21.3,10,93.1,65.6,21,0.479,72,0.431,31,0.264,19,0.737,14,6,200,115.3,39.0,16,19,83,1,11.1,8,0.292,21,0.333,7,50.7,37,0.512,8.0,7,51,0.471,24,0.829,29,"PNC Arena, Raleigh, North Carolina",FLORIDA-GULF-COAST,Florida Gulf Coast,72.2,Home,NORTH-CAROLINA,UNC
2016-03-19-north-carolina,34.8,8,2.2,1,114.9,62.5,15,0.456,57,0.404,23,0.404,23,0.609,14,11,200,89.2,15.2,5,20,66,9,6.8,5,0.404,23,0.261,6,35.1,20,0.486,14.1,11,34,0.5,17,0.686,24,"March 19, 2016",38.7,12,11.8,4,89.2,84.8,28,0.559,59,0.525,31,0.356,21,0.905,19,6,200,114.9,37.5,9,19,85,1,6.8,5,0.237,14,0.286,4,64.9,37,0.616,18.0,15,45,0.6,27,0.833,30,"PNC Arena, Raleigh, North Carolina",PROVIDENCE,Providence,74.5,Home,NORTH-CAROLINA,UNC
2016-03-25-north-carolina,52.0,13,2.4,1,136.5,55.2,16,0.516,61,0.41,25,0.426,26,0.885,23,8,200,116.2,35.3,12,27,86,5,2.7,2,0.508,31,0.419,13,44.4,28,0.586,14.2,12,30,0.4,12,0.771,27,"March 25, 2016",62.5,20,16.7,5,116.2,64.7,22,0.605,62,0.516,32,0.532,33,0.788,26,6,200,136.5,44.8,13,22,101,1,9.5,7,0.323,20,0.55,11,55.6,35,0.65,10.5,9,42,0.5,21,0.838,31,East - Regional Semifinal,INDIANA,Indiana,73.5,Home,NORTH-CAROLINA,UNC
2016-03-27-north-carolina,33.3,9,2.6,1,154.4,42.9,9,0.643,49,0.551,27,0.286,14,0.786,11,12,200,129.8,20.8,5,18,74,6,5.3,3,0.367,18,0.5,9,31.1,14,0.665,9.8,6,31,0.581,18,0.667,24,"March 27, 2016",53.1,17,3.2,1,129.8,79.2,19,0.654,52,0.615,32,0.462,24,0.833,20,6,200,154.4,57.1,12,17,88,1,7.0,4,0.25,13,0.308,4,68.9,31,0.694,8.8,6,39,0.718,28,0.842,32,East - Regional Final,NOTRE-DAME,Notre Dame,57.0,Home,NORTH-CAROLINA,UNC
2016-04-02-north-carolina,18.5,5,8.3,4,125.8,48.4,15,0.47,66,0.409,27,0.197,13,0.308,4,14,200,100.0,37.2,16,15,66,10,12.1,8,0.379,25,0.32,8,41.9,31,0.457,12.2,10,41,0.463,19,0.622,23,"April 2, 2016",51.4,18,12.2,5,100.0,62.8,27,0.569,65,0.538,35,0.169,11,0.818,9,6,200,125.8,51.6,16,12,83,1,9.1,6,0.262,17,0.235,4,58.1,43,0.591,14.7,12,48,0.646,31,0.846,33,National - National Semifinal,SYRACUSE,Syracuse,66.2,Home,NORTH-CAROLINA,UNC
2016-04-04-north-carolina,21.4,6,10.9,5,113.8,60.0,21,0.667,48,0.583,28,0.354,17,0.765,13,5,200,118.5,9.5,2,16,77,2,7.7,5,0.292,14,0.571,8,41.1,23,0.687,15.3,10,34,0.588,20,0.875,35,"April 4, 2016",59.3,16,8.8,3,118.5,90.5,19,0.516,63,0.429,27,0.206,13,0.692,9,7,200,113.8,40.0,14,20,74,1,7.7,5,0.27,17,0.647,11,58.9,33,0.535,13.8,11,46,0.348,16,0.825,33,National - National Final,NORTH-CAROLINA,UNC,65.1,Away,VILLANOVA,Villanova
2015-03-20-coastal-carolina,42.4,14,2.2,1,114.3,75.9,22,0.631,61,0.541,33,0.197,12,0.75,9,3,200,136.5,41.4,12,11,86,1,7.9,5,0.443,27,0.407,11,58.6,34,0.645,12.0,9,34,0.647,22,0.914,32,"March 20, 2015",32.1,9,2.9,1,136.5,58.6,17,0.543,58,0.483,28,0.19,11,0.818,9,10,200,114.3,24.1,7,14,72,16,12.7,8,0.207,12,0.583,7,41.4,24,0.569,8.7,6,46,0.457,21,0.706,24,"CenturyLink Center, Omaha, Nebraska",COASTAL-CAROLINA,Coastal Carolina,63.0,Away,WISCONSIN,Wisconsin
2015-03-22-oregon,50.0,11,7.5,3,103.2,71.4,20,0.5,51,0.431,22,0.569,29,0.724,21,3,200,114.3,22.6,7,13,72,1,4.8,3,0.451,23,0.304,7,45.8,27,0.556,8.6,6,28,0.536,15,0.917,33,"March 22, 2015",50.0,13,14.3,4,114.3,77.4,24,0.508,59,0.441,26,0.119,7,0.714,5,10,200,103.2,28.6,8,20,65,8,4.8,3,0.322,19,0.421,8,54.2,32,0.521,11.4,8,40,0.45,18,0.722,26,"CenturyLink Center, Omaha, Nebraska",OREGON,Oregon,63.1,Away,WISCONSIN,Wisconsin
2015-03-26-north-carolina,50.0,13,0.0,0,118.0,73.3,22,0.527,56,0.464,26,0.411,23,0.87,20,3,200,129.5,37.9,11,18,79,1,4.9,3,0.375,21,0.333,7,55.9,33,0.59,7.0,5,35,0.543,19,0.919,34,"March 26, 2015",46.2,12,2.9,1,129.5,62.1,18,0.536,56,0.464,26,0.321,18,0.667,12,12,200,118.0,26.7,8,20,72,4,4.9,3,0.232,13,0.615,8,44.1,26,0.558,5.9,4,43,0.419,18,0.684,26,"Staples Center, Los Angeles, California",NORTH-CAROLINA,UNC,60.7,Away,WISCONSIN,Wisconsin
2015-03-28-arizona,44.0,11,2.7,1,120.0,88.9,16,0.689,45,0.556,25,0.689,31,0.742,23,3,200,130.8,10.0,2,21,85,1,7.7,5,0.4,18,0.667,12,47.4,18,0.712,12.0,8,27,0.481,13,0.921,35,"March 28, 2015",33.3,8,3.7,1,130.8,90.0,18,0.581,43,0.558,24,0.698,30,0.933,28,4,200,120.0,11.1,2,22,78,2,7.7,5,0.14,6,0.333,2,52.6,20,0.681,15.1,10,37,0.595,22,0.895,34,"Staples Center, Los Angeles, California",ARIZONA,Arizona,65.5,Away,WISCONSIN,Wisconsin
2015-04-04-kentucky,43.5,10,4.1,2,108.5,77.8,21,0.552,48,0.479,23,0.458,22,0.818,18,3,200,120.3,36.0,9,14,71,1,1.7,1,0.354,17,0.412,7,57.7,30,0.607,14.8,10,31,0.516,16,0.923,36,"April 4, 2015",26.9,7,12.9,4,120.3,64.0,16,0.509,54,0.481,26,0.185,10,0.9,9,1,200,108.5,22.2,6,20,64,1,8.5,5,0.093,5,0.6,3,42.3,22,0.545,9.3,6,49,0.469,23,0.974,38,"Lucas Oil Stadium, Indianapolis, Indiana",KENTUCKY,Kentucky,59.1,Away,WISCONSIN,Wisconsin
2015-04-06-duke,52.0,13,2.5,1,111.5,80.0,24,0.467,61,0.41,25,0.164,10,0.6,6,4,200,103.3,25.0,9,15,63,1,4.9,3,0.344,21,0.333,7,50.0,33,0.479,7.1,5,40,0.45,18,0.9,36,"April 6, 2015",29.2,7,15.0,6,103.3,75.0,27,0.51,51,0.471,24,0.392,20,0.8,16,4,200,111.5,20.0,6,13,68,1,6.6,4,0.216,11,0.364,4,50.0,33,0.562,7.7,5,40,0.5,20,0.897,35,"Lucas Oil Stadium, Indianapolis, Indiana",WISCONSIN,Wisconsin,60.6,Home,DUKE,Duke
2018-03-15-21-michigan,38.9,7,6.5,2,93.8,83.3,25,0.348,56,0.321,18,0.196,11,0.727,8,8,200,72.3,21.1,8,21,47,14,10.8,7,0.268,15,0.2,3,48.5,33,0.384,16.5,12,41,0.366,15,0.765,26,"March 15, 2018",52.4,11,7.3,3,72.3,78.9,30,0.5,47,0.447,21,0.468,22,0.636,14,7,200,93.8,16.7,5,14,61,3,6.2,4,0.34,16,0.313,5,51.5,35,0.531,18.7,13,31,0.516,16,0.806,29,"Intrust Bank Arena, Wichita, Kansas",MONTANA,Montana,65.3,Home,MICHIGAN,Michigan
2018-03-17-21-michigan,40.0,8,6.9,2,95.5,80.6,29,0.435,54,0.37,20,0.407,22,0.727,16,8,200,94.0,23.5,8,19,63,6,4.5,3,0.333,18,0.389,7,52.9,37,0.489,13.6,10,36,0.361,13,0.771,27,"March 17, 2018",61.9,13,13.9,5,94.0,76.5,26,0.424,59,0.356,21,0.339,20,0.7,14,7,200,95.5,19.4,7,22,64,3,6.0,4,0.508,30,0.267,8,47.1,33,0.467,9.4,7,29,0.448,13,0.811,30,"Intrust Bank Arena, Wichita, Kansas",HOUSTON,Houston,67.5,Home,MICHIGAN,Michigan
2018-03-22-19-michigan,40.6,13,10.3,4,135.6,90.9,20,0.5,67,0.478,32,0.149,10,0.5,5,13,200,98.6,31.4,11,12,72,7,5.5,4,0.224,15,0.2,3,54.4,31,0.502,16.4,14,52,0.558,29,0.629,22,"March 22, 2018",53.8,21,0.0,0,98.6,68.6,24,0.73,63,0.619,39,0.127,8,0.875,7,7,200,135.6,9.1,2,15,99,3,16.4,12,0.381,24,0.583,14,45.6,26,0.741,8.3,6,39,0.641,25,0.816,31,"Staples Center, Los Angeles, California",TEXAS-AM,Texas A&M,72.8,Home,MICHIGAN,Michigan
2018-03-24-20-michigan,37.5,6,25.9,7,92.1,76.7,23,0.353,51,0.314,16,0.392,20,0.9,18,12,200,85.7,30.3,10,23,54,9,9.5,6,0.333,17,0.235,4,52.4,33,0.446,17.9,13,34,0.353,12,0.657,23,"March 24, 2018",42.1,8,11.8,4,85.7,69.7,23,0.429,49,0.388,19,0.49,24,0.667,16,7,200,92.1,23.3,7,16,58,3,9.5,6,0.449,22,0.182,4,47.6,30,0.48,14.4,10,27,0.556,15,0.821,32,"Staples Center, Los Angeles, California",FLORIDA-STATE,Florida State,63.5,Home,MICHIGAN,Michigan
2018-03-31-18-michigan,27.3,6,3.2,1,100.0,72.2,26,0.441,51,0.431,22,0.275,14,0.857,12,6,200,82.6,16.7,5,17,57,11,7.2,5,0.196,10,0.1,1,47.0,31,0.494,22.9,17,41,0.512,21,0.842,32,"March 31, 2018",32.0,8,4.9,2,82.6,83.3,25,0.483,59,0.424,25,0.305,18,0.667,12,7,200,100.0,27.8,10,11,69,3,14.5,10,0.475,28,0.25,7,53.0,35,0.511,14.1,11,31,0.581,18,0.825,33,"Alamodome, San Antonio, Texas",LOYOLA-IL,Loyola (IL),69.1,Home,MICHIGAN,Michigan
2018-04-02-21-villanova,25.0,6,3.3,1,116.2,63.6,21,0.464,55,0.436,24,0.327,18,0.611,11,8,200,91.2,16.1,5,20,62,3,8.8,6,0.418,23,0.13,3,40.6,26,0.488,13.7,10,32,0.656,21,0.805,33,"April 2, 2018",25.9,7,9.4,3,91.2,83.9,26,0.561,57,0.474,27,0.351,20,0.75,15,4,200,116.2,36.4,12,18,79,1,7.4,5,0.474,27,0.37,10,59.4,38,0.594,15.4,12,30,0.567,17,0.9,36,"Alamodome, San Antonio, Texas",MICHIGAN,Michigan,67.5,Home,VILLANOVA,Villanova
2019-03-22-13-texas-tech,47.8,11,8.3,3,100.0,92.9,26,0.411,62,0.371,23,0.129,8,0.75,6,9,200,79.2,18.2,6,17,57,14,8.3,6,0.355,22,0.227,5,52.5,32,0.433,18.6,15,40,0.45,18,0.743,26,"March 22, 2019",64.3,18,20.0,8,79.2,81.8,27,0.585,53,0.528,28,0.321,17,0.588,10,6,200,100.0,7.1,2,9,72,3,9.7,7,0.321,17,0.353,6,47.5,29,0.589,15.4,11,36,0.611,22,0.818,27,"BOK Center, Tulsa, Oklahoma",NORTHERN-KENTUCKY,Northern Kentucky,72.4,Home,TEXAS-TECH,Texas Tech
2019-03-24-18-texas-tech,57.9,11,2.5,1,118.2,55.9,19,0.452,52,0.365,19,0.423,22,0.5,11,4,200,87.9,30.2,13,22,58,6,10.6,7,0.519,27,0.333,9,41.6,32,0.464,20.6,16,25,0.4,10,0.889,32,"March 24, 2019",40.7,11,12.0,3,87.9,69.8,30,0.527,56,0.482,27,0.446,25,0.76,19,6,200,118.2,44.1,15,18,78,3,12.1,8,0.286,16,0.313,5,58.4,45,0.575,17.3,14,40,0.55,22,0.824,28,"BOK Center, Tulsa, Oklahoma",BUFFALO,Buffalo,66.2,Home,TEXAS-TECH,Texas Tech
2019-03-28-21-michigan,50.0,12,13.3,4,68.8,77.4,24,0.491,55,0.436,24,0.182,10,0.9,9,6,200,98.4,10.3,3,17,63,3,12.5,8,0.345,19,0.316,6,45.0,27,0.527,10.5,7,36,0.5,18,0.829,29,"March 28, 2019",56.3,9,5.6,2,98.4,89.7,26,0.337,49,0.327,16,0.347,17,0.647,11,7,200,68.8,22.6,7,13,44,2,7.8,5,0.388,19,0.053,1,55.0,33,0.385,19.9,14,30,0.5,15,0.811,30,"Honda Center, Anaheim, California",MICHIGAN,Michigan,63.9,Away,TEXAS-TECH,Texas Tech
2019-03-30-18-gonzaga,44.0,11,21.2,7,92.0,80.0,20,0.518,57,0.439,25,0.333,19,0.842,16,6,200,100.0,11.5,3,14,75,3,12.0,9,0.404,23,0.391,9,45.1,23,0.568,14.4,11,34,0.471,16,0.833,30,"March 30, 2019",60.0,15,11.8,4,100.0,88.5,23,0.483,59,0.424,25,0.271,16,0.75,12,4,200,92.0,20.0,5,16,69,1,10.7,8,0.441,26,0.269,7,54.9,28,0.518,18.5,15,33,0.545,18,0.892,33,"Honda Center, Anaheim, California",GONZAGA,Gonzaga,75.3,Away,TEXAS-TECH,Texas Tech
2019-04-06-20-michigan-state,36.4,8,17.4,4,85.0,79.4,27,0.52,51,0.431,22,0.255,13,0.615,8,6,202,101.7,10.7,3,18,61,3,6.7,4,0.451,23,0.391,9,48.4,30,0.533,11.0,7,28,0.464,13,0.838,31,"April 6, 2019",40.0,6,7.1,2,101.7,89.3,25,0.394,47,0.319,15,0.383,18,0.778,14,7,202,85.0,20.6,7,15,51,2,1.7,1,0.511,24,0.292,7,51.6,32,0.459,15.4,10,23,0.348,8,0.821,32,"U.S. Bank Stadium, Minneapolis, Minnesota",MICHIGAN-STATE,Michigan State,59.3,Away,TEXAS-TECH,Texas Tech
2019-04-08-21-virginia,33.3,9,8.6,3,119.7,67.6,23,0.508,63,0.429,27,0.238,15,0.867,13,7,225,108.5,20.6,7,18,77,3,8.5,6,0.476,30,0.333,10,44.1,30,0.549,10.3,8,33,0.515,17,0.816,31,"April 8, 2019",55.6,15,9.1,3,108.5,79.4,27,0.551,59,0.458,27,0.39,23,0.87,20,3,225,119.7,32.4,11,15,85,1,5.6,4,0.407,24,0.458,11,55.9,38,0.608,13.7,11,35,0.457,16,0.921,35,"U.S. Bank Stadium, Minneapolis, Minnesota",TEXAS-TECH,Texas Tech,62.7,Home,VIRGINIA,Virginia
2017-03-16-gonzaga,44.4,8,12.1,4,97.1,67.4,29,0.353,58,0.31,18,0.19,11,0.455,5,17,200,67.6,16.7,6,17,46,16,4.4,3,0.345,20,0.25,5,44.3,35,0.364,16.0,12,38,0.342,13,0.514,18,"March 16, 2017",32.0,8,18.4,7,67.6,83.3,30,0.46,63,0.397,25,0.286,18,0.444,8,1,200,97.1,32.6,14,13,66,1,7.4,5,0.476,30,0.267,8,55.7,44,0.461,11.3,9,33,0.515,17,0.971,33,"Vivint Smart Home Arena, Salt Lake City, Utah",SOUTH-DAKOTA-STATE,South Dakota State,67.9,Home,GONZAGA,Gonzaga
2017-03-18-gonzaga,44.4,12,11.6,5,105.3,60.0,21,0.47,66,0.409,27,0.197,13,0.846,11,12,200,97.3,30.6,11,26,73,8,14.7,11,0.364,24,0.333,8,45.1,32,0.506,15.3,13,42,0.452,19,0.667,24,"March 18, 2017",38.5,10,16.7,7,97.3,69.4,25,0.475,59,0.441,26,0.61,36,0.639,23,1,200,105.3,40.0,14,18,79,1,9.3,7,0.271,16,0.25,4,54.9,39,0.519,14.8,13,43,0.512,22,0.971,34,"Vivint Smart Home Arena, Salt Lake City, Utah",NORTHWESTERN,Northwestern,74.6,Home,GONZAGA,Gonzaga
2017-03-23-gonzaga,43.8,7,20.6,7,91.0,73.1,19,0.308,60,0.267,16,0.483,29,0.724,21,9,200,86.6,41.3,19,25,58,4,7.5,5,0.383,23,0.217,5,52.8,38,0.393,14.2,12,37,0.297,11,0.757,28,"March 23, 2017",38.9,7,8.1,3,86.6,58.7,27,0.455,44,0.409,18,0.727,32,0.656,21,1,200,91.0,26.9,7,26,61,1,7.5,5,0.227,10,0.4,4,47.2,34,0.515,21.6,16,34,0.412,14,0.972,35,"SAP Center, San Jose, California",WEST-VIRGINIA,West Virginia,67.5,Home,GONZAGA,Gonzaga
2017-03-25-gonzaga,27.3,6,8.1,3,112.2,75.7,28,0.371,62,0.355,22,0.355,22,0.591,13,14,200,79.7,25.6,10,21,59,11,5.4,4,0.258,16,0.125,2,50.0,38,0.407,13.3,11,46,0.435,20,0.632,24,"March 25, 2017",51.7,15,13.0,6,79.7,74.4,29,0.574,61,0.475,29,0.41,25,0.52,13,1,200,112.2,24.3,9,19,83,1,9.5,7,0.393,24,0.5,12,50.0,38,0.569,12.2,10,37,0.459,17,0.973,36,"SAP Center, San Jose, California",XAVIER,Xavier,73.7,Home,GONZAGA,Gonzaga
2017-04-01-gonzaga,48.0,12,14.6,6,108.5,79.3,23,0.432,66,0.379,25,0.333,22,0.727,16,11,200,102.8,27.9,12,14,73,7,9.9,7,0.303,20,0.35,7,48.6,35,0.477,6.2,5,46,0.391,18,0.703,26,"April 1, 2017",51.7,15,17.4,8,102.8,72.1,31,0.558,60,0.483,29,0.217,13,0.769,10,1,200,108.5,20.7,6,21,77,1,4.2,3,0.317,19,0.474,9,51.4,37,0.582,15.4,12,41,0.488,20,0.974,37,"University of Phoenix Stadium, Glendale, Arizona",SOUTH-CAROLINA,South Carolina,70.8,Home,GONZAGA,Gonzaga
2017-04-03-north-carolina,55.0,11,10.9,5,94.7,70.0,35,0.407,59,0.339,20,0.441,26,0.654,17,2,200,86.7,22.5,9,22,65,1,2.7,2,0.322,19,0.421,8,48.9,44,0.456,16.6,14,40,0.3,12,0.949,37,"April 3, 2017",57.7,15,20.0,8,86.7,77.5,31,0.384,73,0.356,26,0.356,26,0.577,15,7,200,94.7,30.0,15,22,71,1,9.3,7,0.37,27,0.148,4,51.1,46,0.416,4.5,4,46,0.478,22,0.825,33,"University of Phoenix Stadium, Glendale, Arizona",GONZAGA,Gonzaga,75.4,Home,NORTH-CAROLINA,UNC
2015-03-20-duke,54.2,13,3.0,1,130.8,64.0,16,0.409,66,0.364,24,0.061,4,0.5,2,15,200,86.2,23.1,9,17,56,16,9.2,6,0.288,19,0.316,6,39.1,25,0.412,10.6,8,47,0.383,18,0.571,20,"March 20, 2015",82.4,28,6.4,3,86.2,76.9,30,0.722,54,0.63,34,0.259,14,0.5,7,4,200,130.8,36.0,9,8,85,1,10.8,7,0.389,21,0.476,10,60.9,39,0.701,15.5,11,33,0.727,24,0.882,30,"Spectrum Center, Charlotte, North Carolina",ROBERT-MORRIS,Robert Morris,64.8,Home,DUKE,Duke
2015-03-22-duke,26.3,5,12.2,5,109.7,82.6,19,0.345,58,0.328,19,0.19,11,0.818,9,9,200,79.0,28.9,11,8,49,8,9.7,6,0.224,13,0.154,2,49.2,30,0.388,14.9,11,45,0.378,17,0.75,27,"March 22, 2015",53.3,16,13.3,6,79.0,71.1,27,0.6,55,0.545,30,0.036,2,1.0,2,4,200,109.7,17.4,4,12,68,1,11.3,7,0.255,14,0.429,6,50.8,31,0.608,12.5,8,41,0.585,24,0.886,31,"Spectrum Center, Charlotte, North Carolina",SAN-DIEGO-STATE,San Diego State,61.6,Home,DUKE,Duke
2015-03-27-duke,38.1,8,11.1,4,98.4,68.2,15,0.383,60,0.35,21,0.25,15,0.733,11,9,200,89.1,42.5,17,21,57,5,12.5,8,0.267,16,0.25,4,51.6,32,0.425,17.4,14,44,0.386,17,0.743,26,"March 27, 2015",25.0,5,9.1,4,89.1,57.5,23,0.478,45,0.444,20,0.578,26,0.769,20,4,200,98.4,31.8,7,16,63,1,9.4,6,0.2,9,0.333,3,48.4,30,0.549,19.9,14,36,0.472,17,0.889,32,"NRG Stadium, Houston, Texas",UTAH,Utah,64.2,Home,DUKE,Duke
2015-03-29-duke,36.4,8,8.1,3,108.2,78.1,25,0.46,50,0.44,22,0.18,9,0.667,6,3,200,85.2,21.4,6,15,52,2,1.6,1,0.2,10,0.2,2,51.7,31,0.479,19.4,13,40,0.5,20,0.921,35,"March 29, 2015",47.6,10,5.0,2,85.2,78.6,22,0.446,56,0.375,21,0.339,19,0.842,16,4,200,108.2,21.9,7,12,66,1,13.1,8,0.339,19,0.421,8,48.3,29,0.507,3.0,2,37,0.351,13,0.892,33,"NRG Stadium, Houston, Texas",GONZAGA,Gonzaga,60.7,Home,DUKE,Duke
2015-04-04-duke,45.5,10,7.5,3,117.4,76.7,23,0.464,55,0.4,22,0.291,16,0.625,10,12,200,88.4,21.6,8,28,61,7,5.8,4,0.364,20,0.35,7,46.3,31,0.487,18.4,14,35,0.429,15,0.692,27,"April 4, 2015",38.5,10,11.4,4,88.4,78.4,29,0.54,50,0.52,26,0.74,37,0.73,27,4,200,117.4,23.3,7,18,81,1,13.0,9,0.2,10,0.2,2,53.7,36,0.599,10.8,8,40,0.6,24,0.895,34,"Lucas Oil Stadium, Indianapolis, Indiana",MICHIGAN-STATE,Michigan State,68.6,Home,DUKE,Duke
2015-04-06-duke,52.0,13,2.5,1,111.5,80.0,24,0.467,61,0.41,25,0.164,10,0.6,6,4,200,103.3,25.0,9,15,63,1,4.9,3,0.344,21,0.333,7,50.0,33,0.479,7.1,5,40,0.45,18,0.9,36,"April 6, 2015",29.2,7,15.0,6,103.3,75.0,27,0.51,51,0.471,24,0.392,20,0.8,16,4,200,111.5,20.0,6,13,68,1,6.6,4,0.216,11,0.364,4,50.0,33,0.562,7.7,5,40,0.5,20,0.897,35,"Lucas Oil Stadium, Indianapolis, Indiana",WISCONSIN,Wisconsin,60.6,Home,DUKE,Duke
2019-03-22-15-virginia,45.5,10,6.5,2,109.2,57.7,15,0.53,50,0.44,22,0.08,4,0.75,3,12,200,86.2,12.0,3,16,56,16,7.7,5,0.46,23,0.391,9,35.3,18,0.539,23.6,16,27,0.481,13,0.657,23,"March 22, 2019",42.9,12,11.1,3,86.2,88.0,22,0.583,54,0.519,28,0.241,13,0.615,8,3,200,109.2,42.3,11,9,71,1,15.4,10,0.426,23,0.304,7,64.7,33,0.59,20.1,15,31,0.677,21,0.909,30,"The Colonial Life Arena, Columbia, South Carolina",GARDNER-WEBB,Gardner-Webb,64.5,Home,VIRGINIA,Virginia
2019-03-24-19-virginia,47.4,9,3.1,1,110.5,75.0,21,0.442,52,0.365,19,0.115,6,0.833,5,14,200,89.5,15.6,5,10,51,9,5.3,3,0.423,22,0.364,8,43.3,26,0.465,11.4,7,30,0.367,11,0.588,20,"March 24, 2019",37.0,10,20.0,6,89.5,84.4,27,0.545,56,0.482,27,0.089,5,0.4,2,3,200,110.5,25.0,7,11,63,1,10.5,6,0.429,24,0.292,7,56.7,34,0.54,9.3,6,32,0.625,20,0.912,31,"The Colonial Life Arena, Columbia, South Carolina",OKLAHOMA,Oklahoma,57.1,Home,VIRGINIA,Virginia
2019-03-28-21-virginia,47.1,8,4.3,1,94.6,75.0,24,0.478,45,0.378,17,0.178,8,0.75,6,13,200,87.5,17.9,5,14,49,12,8.9,5,0.556,25,0.36,9,48.3,29,0.502,17.1,10,20,0.4,8,0.658,25,"March 28, 2019",70.0,14,10.0,2,87.5,82.1,23,0.438,56,0.357,20,0.089,5,0.8,4,3,200,94.6,25.0,8,13,53,1,7.1,4,0.589,33,0.273,9,51.7,31,0.454,12.1,8,23,0.478,11,0.914,32,"KFC Yum! Center, Louisville, Kentucky",OREGON,Oregon,56.1,Home,VIRGINIA,Virginia
2019-03-30-20-virginia,33.3,9,13.2,5,129.0,57.5,23,0.618,55,0.491,27,0.182,10,0.7,7,10,225,121.0,25.0,7,17,75,3,1.6,1,0.582,32,0.438,14,44.1,30,0.628,11.9,8,23,0.565,13,0.722,26,"March 30, 2019",51.9,14,17.4,4,121.0,75.0,21,0.485,65,0.415,27,0.308,20,0.85,17,3,225,129.0,42.5,17,13,80,1,9.7,6,0.415,27,0.333,9,55.9,38,0.537,6.3,5,38,0.474,18,0.917,33,"KFC Yum! Center, Louisville, Kentucky",PURDUE,Purdue,54.8,Home,VIRGINIA,Virginia
2019-04-06-18-virginia,42.9,9,9.4,3,106.8,85.2,23,0.464,55,0.382,21,0.255,14,0.786,11,10,200,105.1,21.9,7,12,62,5,5.1,3,0.564,31,0.29,9,50.8,30,0.503,6.1,4,24,0.5,12,0.75,30,"April 6, 2019",60.0,15,37.5,9,105.1,78.1,25,0.559,51,0.49,25,0.235,12,0.5,6,3,200,106.8,14.8,4,12,63,1,1.7,1,0.373,19,0.368,7,49.2,29,0.556,9.6,6,32,0.563,18,0.919,34,"U.S. Bank Stadium, Minneapolis, Minnesota",AUBURN,Auburn,58.7,Home,VIRGINIA,Virginia
2019-04-08-21-virginia,33.3,9,8.6,3,119.7,67.6,23,0.508,63,0.429,27,0.238,15,0.867,13,7,225,108.5,20.6,7,18,77,3,8.5,6,0.476,30,0.333,10,44.1,30,0.549,10.3,8,33,0.515,17,0.816,31,"April 8, 2019",55.6,15,9.1,3,108.5,79.4,27,0.551,59,0.458,27,0.39,23,0.87,20,3,225,119.7,32.4,11,15,85,1,5.6,4,0.407,24,0.458,11,55.9,38,0.608,13.7,11,35,0.457,16,0.921,35,"U.S. Bank Stadium, Minneapolis, Minnesota",TEXAS-TECH,Texas Tech,62.7,Home,VIRGINIA,Virginia
2017-03-17-north-carolina,40.9,9,5.7,3,135.5,48.6,18,0.425,60,0.367,22,0.267,16,0.813,13,12,200,84.2,16.2,6,17,64,16,7.9,6,0.45,27,0.259,7,32.4,24,0.473,16.2,13,33,0.455,15,0.657,23,"March 17, 2017",47.4,18,12.1,4,84.2,83.8,31,0.56,75,0.507,38,0.347,26,0.731,19,7,200,135.5,51.4,19,13,103,1,7.9,6,0.293,22,0.364,8,67.6,50,0.59,10.4,10,53,0.566,30,0.8,28,"Bon Secours Wellness Arena, Greenville, South Carolina",TEXAS-SOUTHERN,Texas Southern,76.5,Home,NORTH-CAROLINA,UNC
