Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %
Chicago St,21.1,0.326,17.8,0.36,58.9,0.419,51.7,0.486,20.9,14.5,14.5,24.9,0.731,14.6,16.2,70.5,9.8,9.3,20,24.8,0.241,0.1
Cincinnati,21.4,0.316,16.5,0.304,57.7,0.455,54.4,0.423,17.8,18.1,20.5,17.8,0.647,12.7,13.3,67.3,12.5,9.2,23.7,20.6,0.647,0.444
Citadel,16,0.359,21.3,0.382,49.8,0.489,57.5,0.536,15.5,17.3,18.8,16.5,0.702,15.6,11.7,66.3,7.8,11,19.2,19.6,0.214,0.286
Clemson,16,0.317,15.9,0.348,53,0.471,52,0.444,16,16,17.5,17.1,0.654,11.5,12.7,63.5,9.4,9.2,21.5,21.5,0.419,0.25
Cleveland St,18.9,0.335,16.9,0.354,54.4,0.451,50.6,0.518,19.8,15.8,16.5,22.9,0.72,14.3,14.4,67.4,9,8.5,19,21.9,0.379,1
Coastal Car,14.5,0.316,21.2,0.348,55,0.468,51.7,0.477,18.8,18.5,19.7,20.2,0.672,14.3,14.5,67.1,11.1,9.1,21.6,19.8,0.423,0.4
Col Charlestn,17.3,0.345,16.6,0.3,52.1,0.494,56.8,0.45,14.5,17.2,20.1,15.3,0.691,13.2,9.9,65.5,9.7,8.1,24.6,20,0.706,0.667
Colgate,20.2,0.341,19.8,0.355,55,0.462,57.5,0.469,17.5,15.6,15.2,18.9,0.707,13.2,10.1,67.8,7.8,8.6,24.5,24.1,0.344,1
Colorado,15.7,0.344,21.2,0.32,54.2,0.47,58.1,0.447,15.9,17.9,22.2,14.7,0.686,13.3,12.9,68.1,10,9.8,24.4,21.4,0.636,0.625
Colorado St,15.2,0.341,19.5,0.341,55.6,0.484,52.5,0.471,17.1,20.9,24.5,19.1,0.711,11.1,10.6,65.6,12.8,6.7,24.2,18.4,0.727,0.667
Columbia,18.4,0.354,13.8,0.373,51,0.445,47.6,0.465,19.3,17,17.2,20.2,0.752,10.8,12.2,62.1,8,7.2,20.9,21.3,0.385,0
Connecticut,18.7,0.34,18.1,0.315,54.8,0.495,58.4,0.444,16.2,17.7,20.2,18.1,0.743,12.2,13.5,68.8,7.9,11.7,21.6,21.7,0.667,0.571
Coppin State,24,0.312,21.1,0.296,58.4,0.396,57,0.534,17.8,17.9,18.2,21.2,0.699,14.6,16.3,71.4,9.5,12.7,19.7,26.5,0.226,0.429
Cornell,19.6,0.332,18.9,0.387,55.4,0.461,52.5,0.498,17.9,15.5,17,19.6,0.706,13,13.7,67.8,8.9,7.5,20.9,24.2,0.4,0.571
Creighton,20.6,0.414,19.1,0.312,52.3,0.557,57.6,0.455,16.3,17.8,17.9,15.1,0.759,12.3,10.5,66.2,7.5,8.4,25.4,19.4,0.778,0.5
CS Bakersfld,19.5,0.337,16.5,0.346,55.4,0.446,49.9,0.514,21.1,17,19.6,26.2,0.69,14,14.9,69.5,8.7,8.4,20.4,23.6,0.385,0.714
CS Fullerton,21.8,0.377,18.1,0.351,56,0.518,56.3,0.548,18.9,18.2,19.9,20.6,0.767,12.6,15.9,71.3,6.9,10.5,18.9,22.9,0.4,0.1
Dartmouth,16.8,0.333,16.6,0.355,52.6,0.435,50,0.495,19.3,17.4,17.6,21.5,0.73,13.2,13.5,65.2,8.6,8.8,20.6,23.6,0.296,0.333
Davidson,20.4,0.366,13.9,0.321,52.9,0.52,53,0.443,17.6,18.8,20.6,19.3,0.796,11,12.2,66,7.8,8.2,23,20.6,0.758,0.429
Dayton,15.3,0.384,17.5,0.353,53.4,0.511,53.4,0.474,19.8,19,21.2,20,0.717,14.5,14.1,68.1,9.7,8.9,21.9,19.3,0.548,0.2
Delaware,14.1,0.309,18.6,0.344,55.5,0.462,59.8,0.442,16.8,19.4,23.3,19.7,0.754,12.7,10.8,69,10.6,10.6,25.2,22.3,0.576,0.563
Delaware St,18.2,0.296,15.6,0.332,51.4,0.465,53.8,0.484,15.6,16.3,17.1,17.3,0.699,13.9,13.1,64.4,9.2,10.6,19,20.7,0.419,0.455
Denver,21,0.375,11,0.331,48.2,0.56,45,0.465,17.4,14.7,15,18.5,0.719,11.2,15.7,61.2,5.5,8.1,17.4,20.5,0.688,0.667
DePaul,16.2,0.299,15,0.365,61,0.483,58.7,0.504,19.1,17.3,19.3,21.3,0.704,14.3,15.6,73.9,9.9,11.1,20.8,23.8,0.344,0.333
Detroit,20.3,0.334,18.5,0.368,60,0.511,54.3,0.523,17.8,17.5,21.5,19.3,0.734,10.8,16,71.2,9.9,8.2,20.1,22.8,0.581,0.222
Drake,22.5,0.379,19.8,0.356,54,0.489,55.2,0.502,19.4,18.3,20.2,21.3,0.721,13.6,13,70.1,7,8.2,22,23.6,0.452,0.625
Drexel,17.4,0.335,15.2,0.342,53.3,0.449,49,0.475,18.6,16.9,17.8,21.3,0.745,11.8,11.8,63.9,9.9,6.7,21.6,20.6,0.419,0.333
Duke,18.8,0.399,15.3,0.29,56.5,0.508,56.9,0.462,17.9,19.5,22.1,18.6,0.739,10.6,13.9,69.4,8.3,10.3,23,22.1,0.833,0.75
Duquesne,24.1,0.338,20.8,0.379,58.2,0.459,60.4,0.487,17.4,17.2,18.4,19.8,0.644,14.6,12.1,71.6,9.8,10.6,22.7,24.1,0.267,0.625
E Carolina,21.7,0.35,16.1,0.341,57,0.507,61,0.481,18.4,18.7,22.3,20.3,0.728,13,13.1,71.9,8.7,11.8,23.2,22.9,0.613,0.7
E Illinois,17.2,0.35,19.5,0.389,49.2,0.487,48,0.512,16.5,16,16.8,18.1,0.67,13,12.9,62,7.8,7.9,19.2,20.2,0.355,0.25
E Kentucky,24.4,0.35,17,0.315,53.8,0.554,49.9,0.533,19.6,17.5,18.7,21.8,0.783,11.8,16.8,66.8,7.5,10.4,17.4,20.7,0.697,0.75
E Michigan,14.7,0.33,22.2,0.297,50.7,0.415,50.8,0.48,17.4,16.1,15.5,19.1,0.67,14.1,13.9,63,9.4,10.5,19.8,20.3,0.419,0.333
E Tenn St,19.7,0.324,23.7,0.372,54.5,0.442,55.1,0.528,16.3,16.5,17.2,18.4,0.664,13.3,14,67.4,8.4,10.7,19.6,24.3,0.29,0.5
E Washingtn,25,0.341,17.5,0.351,58.4,0.47,61.3,0.462,18.4,17.6,18.7,22.2,0.655,13.4,11,71.1,9.6,11.8,23.4,24.9,0.323,0.6
Elon,22,0.34,16.7,0.368,56.6,0.48,55.5,0.432,17.1,17.5,16.5,20.2,0.713,11.7,12.8,68.2,8.1,9.7,23.5,24.1,0.613,0.7
Evansville,15.8,0.367,17.5,0.352,56.8,0.46,52.6,0.497,17.4,17.4,17.7,18.1,0.741,11.2,14.2,67.3,9,8.2,21.1,22.9,0.571,0.636
F Dickinson,17.5,0.35,19.6,0.363,54,0.472,60.7,0.517,18.4,17.3,19,21.7,0.671,15.5,12.4,71.3,7.4,12.1,20.5,23.8,0.226,0.429
Fairfield,18,0.316,12,0.32,52.7,0.478,49.2,0.432,19.4,15.7,15.2,22.4,0.685,13.5,13.5,64,10,8.8,20.5,20.4,0.543,0.5
Fla Atlantic,16.9,0.353,16.5,0.302,54.1,0.451,58.5,0.46,18.2,17.1,19.2,21.3,0.695,15.2,11.5,69,9.5,11.1,23.5,21.6,0.419,0.429
Fla Gulf Cst,19.6,0.334,21.8,0.313,56.9,0.523,57.7,0.469,17.5,17.8,20,18.9,0.669,14.7,15.5,71.3,10.2,10.6,23,21.5,0.686,1
Florida,21.4,0.378,16.8,0.31,54.3,0.543,51.3,0.418,14,16,16.9,15.3,0.676,11.2,14.1,64.3,9.5,7.9,22.5,18.9,0.784,0
Florida A&M,18,0.303,16.3,0.354,58.9,0.419,56.1,0.493,19.7,16.2,19.3,23.7,0.628,16,16.1,72.7,10.2,11.8,20,25.1,0.207,0.375
Florida Intl,21,0.333,19.9,0.323,56.1,0.483,54.3,0.525,18.8,17.8,20.1,20.1,0.707,15.1,17.8,71.3,9.5,10.3,20.1,22.4,0.563,0.692
Florida St,16.6,0.348,18,0.368,51.7,0.489,55.5,0.471,17.6,19,20.9,19.3,0.735,14.7,13.7,67.9,8.4,10.4,20,19.6,0.529,0.714
Fordham,17.4,0.311,20,0.352,57.6,0.442,56.9,0.5,20.3,17.4,18.8,25.5,0.674,15.7,11.2,70.3,12.2,9.7,22.8,22.5,0.226,0.5
Fresno St,17.5,0.337,14.8,0.281,51.7,0.399,50,0.467,19.6,16.5,19.3,23.6,0.674,11.5,12.5,63.8,8.4,10.1,20.2,23.5,0.321,0.429
Furman,18.2,0.326,17.2,0.386,50.6,0.44,56.2,0.503,15.6,16.8,17.9,16.4,0.693,14.6,11,65.7,8.1,9.1,20.2,22.1,0.172,0.4
GA Southern,16.5,0.331,17.9,0.318,52.2,0.442,52.2,0.508,17.8,16.3,18.5,19.3,0.693,12.7,12.9,64.4,9,10.2,20.2,21.8,0.387,0.5
GA Tech,17.5,0.318,18.2,0.323,57.8,0.464,55.3,0.438,16.7,15.5,16.2,18.3,0.635,12.9,12.6,67.9,10.5,8.7,24.4,23.1,0.516,0.286
Gard-Webb,17.2,0.325,16.5,0.33,54.6,0.459,51.7,0.478,17.2,17.2,18.8,18,0.714,13.6,15.2,66.3,10.8,9.1,20.9,20.5,0.581,0.5
Geo Mason,15.5,0.345,18.8,0.333,55.6,0.472,52.4,0.457,20.3,18.7,19.6,23.3,0.725,14,15,68.5,10.2,10.2,21.3,20.3,0.579,0.471
Geo Wshgtn,10,0.279,16.3,0.36,55.3,0.477,55.8,0.446,17.6,18.6,22.3,18.2,0.657,16,14.5,70.1,11.7,8.9,23,20.3,0.433,0.4
Georgetown,16.7,0.353,17.5,0.307,50.8,0.502,51.5,0.415,17.3,18.3,18.7,18.2,0.679,12.8,14.2,64.9,8.1,8.9,22.3,19.7,0.781,0.5
Georgia,16.4,0.357,20,0.329,48.7,0.435,53.3,0.423,16.9,19.3,21.9,20.2,0.694,14.6,11.8,65.1,9.2,8.8,23.7,20.3,0.469,0
Georgia St,19.6,0.357,20.7,0.366,54,0.48,52.3,0.487,17.1,17.2,18.9,19.4,0.717,11.6,13.5,65.9,8.4,9.5,20.3,22.3,0.467,0.462
Gonzaga,17.3,0.365,21.1,0.329,54.9,0.55,54.4,0.421,15.9,19.8,22.4,16.3,0.71,11.2,13.5,66.6,10.4,8.7,23.7,17.4,0.912,0.833
Grambling St,16.4,0.312,20.1,0.378,51.3,0.384,60.1,0.499,17.6,13.6,12.8,21,0.587,17.5,9.7,66.9,8.5,12.4,20,23.4,0,--
Hampton,16.5,0.263,17.6,0.306,55.8,0.446,55.5,0.429,20.5,18.5,21.5,23.6,0.666,17,15.6,71.8,11.2,10.5,24.7,22.6,0.452,0.467
Hartford,22.7,0.334,15.1,0.342,50.9,0.469,48.4,0.485,18.8,16.7,15.6,20.1,0.697,14.3,16,65.7,6.9,8.2,19.5,22.8,0.548,0.778
Harvard,16,0.398,15.1,0.333,47.2,0.515,53.3,0.489,15.2,19.6,23.4,16.7,0.726,13.4,13.5,65.9,6,8.7,20.6,19.4,0.655,0.6
Hawaii,17.7,0.336,21.9,0.363,57.6,0.496,59.6,0.454,16.5,18.2,21.4,19,0.686,14.5,12.1,71.4,10.8,9.4,24,20.8,0.516,0.583
High Point,14.3,0.316,17.3,0.325,58.8,0.482,54.4,0.476,18.9,17.3,19.2,22.6,0.704,12.1,13.3,69,10.8,9.6,22.5,22.2,0.517,0.444
Hofstra,15.4,0.287,17.9,0.31,53.4,0.416,54,0.5,16.8,19.2,21,19.8,0.627,14.5,13.5,66.9,11.1,9.8,20.3,22.8,0.194,0.273
Holy Cross,19,0.342,19.9,0.318,51.8,0.456,54.9,0.477,17.1,15,15.5,17.1,0.753,12.4,9.8,64,7.7,8.8,22.6,21.5,0.4,0.5
Houston,16.8,0.36,20.3,0.318,59,0.503,61.3,0.492,18.2,18.8,23.2,20.7,0.719,13.2,12.8,72.9,10.5,10.8,25,22.3,0.594,0.714
Houston Bap,14.4,0.313,14.2,0.32,54.5,0.425,55,0.472,19.9,19.4,19.9,22.9,0.67,17.3,15.8,71.7,9.4,10.1,21.5,23.1,0.393,0.833
Howard,13.3,0.249,17.9,0.333,50.9,0.399,50.5,0.458,17.3,16.1,17.4,18.7,0.653,14.8,14.2,63.6,10.7,9.6,19.6,21,0.207,0.25
Idaho,17.2,0.368,19.6,0.36,50.7,0.514,56.3,0.505,16.6,16.2,19.1,17.3,0.74,13.4,9,64.9,8.6,8.4,22.5,18.9,0.379,0.4
Idaho State,17.2,0.314,19.3,0.374,48,0.457,50.6,0.497,15.9,16.6,18,17.5,0.676,11.9,12.7,62.2,6.2,9.4,19,22.3,0.172,0.3
IL-Chicago,19.2,0.335,18.3,0.337,52.5,0.435,53.5,0.448,17,17.1,18.6,18.7,0.752,13,12.9,66.5,7.9,8.6,21.9,22.5,0.515,0.667
Illinois,24.1,0.318,18.6,0.343,57.9,0.475,52.8,0.471,18,16.3,17.9,19.2,0.723,11.4,14.2,67,10.5,9.4,20.1,22.2,0.629,0.778
Illinois St,21.1,0.347,20.4,0.334,58,0.517,56.9,0.473,18.1,17.8,19.9,19.3,0.723,13.1,14.7,71,9.5,9.9,23.5,23.2,0.546,0.5
Indiana,17.7,0.403,19,0.304,54.8,0.52,58,0.432,16.6,20.4,25.1,15.6,0.743,13,14.1,69.4,10.9,9.6,24.7,17.7,0.806,0.5
Indiana St,17.5,0.32,17,0.324,51.8,0.484,54.9,0.456,17.8,19.1,21.8,21.2,0.707,13,12,67.6,7.4,9.4,23,22.8,0.531,0.615
Iona,22.7,0.367,21.4,0.375,61.9,0.504,61.3,0.491,17.1,17.2,20.3,19.7,0.781,12.4,14,74,9.9,10.6,22.3,21.8,0.588,0.375
Iowa,17.6,0.305,18.9,0.295,56.7,0.47,57.1,0.44,17,19.5,23.6,17.8,0.731,12.6,13.2,69,11.4,9.8,24.8,21.3,0.658,0.222
Iowa State,26.4,0.374,19.8,0.311,60.3,0.519,59.3,0.488,16.9,17.6,19.9,19.4,0.731,13.1,13.2,72.4,10.7,9.1,25,22.2,0.657,0.333
IPFW,19,0.354,16.7,0.341,53.6,0.475,52,0.523,18,18.1,20.6,19.6,0.631,13.5,13.2,67.5,9.2,7.1,21.6,21.7,0.452,0.615
IUPUI,18.9,0.361,18.3,0.392,55.2,0.486,57.5,0.545,15.9,14.4,13.4,18.2,0.676,12.6,11.3,67.9,6.2,9.5,19.3,24.6,0.133,0
Jackson St,20,0.312,18.4,0.315,57.2,0.432,56.8,0.513,19.6,18,22,22.3,0.699,12.8,14.7,71.2,9,11,20.4,25.5,0.379,0.5
Jacksonville,15.5,0.32,18.4,0.345,57.1,0.454,56.8,0.496,19.4,18.7,20.7,22.4,0.7,15.1,14.2,71.4,10.7,10,22.8,23.3,0.4,0.539
*James Mad,17.4,0.336,17.7,0.347,53.9,0.462,51.8,0.469,17.2,16.5,19.8,20.3,0.699,11.1,13.6,66.1,8.6,8.7,21.1,23,0.583,0.571
Jksnville St,15.7,0.352,13.4,0.316,50.4,0.478,50.5,0.509,16.8,18.8,22.1,19.7,0.68,13.6,16.3,65.7,8.8,10.4,16.7,20.7,0.577,0.75
Kansas,16.1,0.364,21,0.303,55.4,0.529,59,0.393,16.7,18.4,21.8,18.9,0.738,14,12.6,70.3,9.7,10.1,26.9,19.9,0.838,0.571
Kansas St,18.8,0.358,14.9,0.333,57.1,0.468,51.1,0.465,18.1,16.5,18.1,18.8,0.685,11.5,14.1,64.8,12.2,9.6,20.1,20.2,0.765,0.714
Kennesaw St,16.7,0.303,15.6,0.382,53.6,0.444,50,0.547,20.1,17.4,20,23.8,0.651,13.8,14,67.3,9.1,8.5,17.6,23.4,0.1,0.5
Kent State,18.9,0.358,18.4,0.31,55,0.463,53.9,0.495,19.7,19.3,24.1,22.3,0.71,12.6,14,68.7,10.4,9.7,21.5,20.6,0.588,0.539
Kentucky,16.1,0.346,16.7,0.324,55,0.529,58.9,0.42,17.1,19.8,22.9,17.8,0.642,13,11.8,68.9,10.3,10.1,25,20.5,0.636,0.667
LA Lafayette,20.2,0.345,17.4,0.349,58.5,0.469,57.4,0.472,18.8,18.5,20.6,24.8,0.672,14,14.8,72.9,9.2,11.3,21.8,24.8,0.375,0.273
LA Monroe,17.1,0.348,19.6,0.362,52.2,0.466,53.7,0.531,18.4,15.1,16.4,21.3,0.577,15.8,13.9,68,7.7,9.7,19,22.9,0.148,0.25
*La Salle,20.4,0.377,13.8,0.302,56.8,0.493,56.2,0.506,15.3,15.8,17.8,16,0.737,11.5,14.3,68.4,8.5,9.6,19.9,22.5,0.706,0.875
LA Tech,22.6,0.319,15.5,0.297,60.6,0.457,55.7,0.453,18.5,18.5,21.5,20.2,0.696,12.4,17.3,72.2,11.5,10,22.2,24.1,0.788,1
Lafayette,21.1,0.384,17.7,0.364,54.1,0.496,54.9,0.512,15.5,15.9,15.3,17.3,0.754,12.5,13.4,67.2,6.6,9.4,20,22.2,0.546,0.7
Lamar,6.1,0.303,18.2,0.358,56.2,0.42,64.4,0.489,16.3,16.4,17.7,18.7,0.703,18.2,11.4,72.8,10.2,11.6,22.9,22.9,0.097,0.6
Lehigh,19,0.394,20.6,0.298,54.8,0.498,57.3,0.492,15.3,16.9,19.9,16.4,0.739,10.9,13.5,68.1,7.1,10.4,22.2,22.3,0.667,0.2
Lg Beach St,19.8,0.34,20.5,0.381,55.4,0.497,58.3,0.476,17.2,17.8,20.1,18.7,0.663,14.1,13.2,69,10,11.3,21.6,22.1,0.548,0.778
*Liberty,18.6,0.37,19.2,0.308,53.8,0.449,57.8,0.486,18.8,18.2,20.7,22.2,0.738,13.2,10.1,68.3,8.5,10.2,23.3,22.8,0.364,0.385
Lipscomb,16.4,0.315,23.7,0.338,56.6,0.465,58,0.526,22.1,20.8,25.2,26.1,0.649,16.7,13.4,73.2,12.1,10.5,23.3,22.7,0.379,0.8
*LIU-Brooklyn,19,0.38,18.6,0.372,56.1,0.53,60.2,0.511,17.6,21.2,25.6,19,0.691,14.3,13,72.3,10.2,9.9,21.8,19.8,0.588,0.4
Longwood,16.1,0.321,17.9,0.384,57.1,0.483,61,0.531,17.9,16.9,17.5,21.2,0.713,16.4,13.3,73.5,8.5,10.6,21,23.4,0.194,0.5
Louisville,17.3,0.329,17.4,0.314,57.4,0.51,52.3,0.431,18.1,19.2,23,18.1,0.707,12.4,18.4,68.9,12.3,10,22.8,20.5,0.872,0.6
Loyola Mymt,17.8,0.327,18.7,0.375,55.5,0.425,52.9,0.488,18.3,17.3,18.9,21.4,0.717,13.3,13.8,67.5,10.3,9.3,21.2,22.4,0.313,0.308
Loyola-Chi,16.4,0.365,16.8,0.339,51,0.483,52.9,0.481,15.7,17.5,18,16.1,0.719,13.3,11.7,65.1,7.8,7.2,21.7,19.9,0.467,0.3
